,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Interim Chief Executive Officer,1,2,3,4,4,4,4,4,5,5,5,5,6,7,8,9,9,9,9,9,9,10,11,11,11,11,12,13,13,13,14,15,15,16,17,17,18,18,18,18,19,19,20,20,20,21,21,21,21,21,21,21,21,22,22,23
Chief Executive Officer,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,7,7,8,8,8,9,10,10,11,11,11,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14
ceo and founder,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Founder,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12
Co-Founder,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,8,9,9,10,10,10,10,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13
CEO,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10
CEO | Founder,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8
President,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11
Managing Director ,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,7,8,8,8,9,9,9,10,11,11,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15
COO | Co-founder ,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9
Chief Administrative Officer,1,2,3,4,4,4,4,4,5,5,6,6,7,8,9,10,10,10,10,10,10,11,12,12,12,12,13,14,14,14,15,16,16,17,18,18,19,19,19,19,20,20,21,21,21,22,22,22,22,22,22,22,22,23,23,24
Global Controller,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,12,12,12,12,12,13,14,14,15,15,16,17,17,17,18,19,19,20,21,21,22,22,22,22,23,24,25,26,26,27,27,27,27,27,28,29,29,30,30,31
Controller,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,22,23,24,25,26,27,27,28,29,29,30,31,32,33,34,34,34,35,36,37,38,38,39,40,41,41,41,42,43,44,45,45,46
"Head of Consolidation, Reporting & Finance Transformation",1,2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,16,16,16,17,18,18,19,20,21,22,23,23,24,25,25,26,27,28,29,30,30,30,31,32,33,34,34,35,36,36,36,36,37,38,39,40,40,41
Finance controller,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,17,17,17,18,19,19,20,21,22,23,24,24,25,26,26,27,28,29,30,31,31,31,32,33,34,35,35,36,37,37,37,37,38,39,40,41,41,42
Corporate Controller,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,12,12,12,12,12,13,14,14,15,15,16,17,17,17,18,19,19,20,21,21,22,22,22,22,23,24,25,26,26,27,28,28,28,28,29,30,30,31,31,32
Chief Financial Officer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,36,37,38,39,40,41,41,42,43,44,44,45,46,47,48,49,50,51
Chief Financial Officer & Board Secretary,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,12,12,12,12,12,13,14,14,15,15,16,17,18,18,19,20,20,21,22,22,23,23,23,23,24,25,26,27,27,28,29,29,29,29,30,31,31,32,32,33
Chief Financial Officer & Treasurer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,28,29,30,30,31,32,33,34,35,35,36,37,38,39,40,40,41,42,43,43,44,45,46,47,48,48,49
Chief Financial Officer and Treasurer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,28,29,30,30,31,32,33,34,35,35,36,37,38,39,40,40,41,42,43,43,44,45,46,47,48,49,50
Chief Financial Officer at SparkCognition,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52
Chief Accounting Officer & â€‹Sr. Vice President of Finance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Acting Chief Financial Officer,1,2,3,4,4,4,4,4,5,5,5,5,6,7,8,9,9,9,9,9,9,9,10,10,10,10,11,12,12,12,13,14,14,15,16,16,17,17,17,17,18,18,19,19,19,20,20,20,20,20,20,20,20,21,21,21
CFO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,22,23,24,25,26,27,27,28,29,29,30,31,32,33,34,34,35,36,37,38,39,39,40,41,42,42,43,44,45,46,47,47,48
EVP & Chief Financial Officer,1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,13,13,14,15,15,15,16,17,17,18,19,19,20,20,20,20,21,21,22,22,22,23,23,23,23,23,24,25,25,26,26,27
Vice President Strategic Finance,1,2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,15,15,15,15,16,17,17,18,19,20,21,22,22,23,24,24,25,26,26,27,28,28,28,29,30,31,32,32,33,34,34,34,34,35,36,37,38,38,39
Executive Vice President / CFO,1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,14,14,15,16,16,16,17,18,18,19,20,20,21,21,21,21,22,22,23,24,24,25,25,25,25,25,26,27,27,28,28,29
Field CFO,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,17,18,18,19,20,20,21,22,23,24,25,25,26,27,27,28,29,30,31,32,32,32,33,34,35,36,36,37,38,38,38,38,39,40,41,42,42,43
Group Chief Financial Officer,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,13,13,13,13,13,14,15,15,16,17,18,19,20,20,21,22,22,23,24,24,25,26,26,26,27,28,29,30,30,31,32,32,32,32,33,34,35,36,36,37
Interim Chief Financial Officer,1,2,3,4,4,4,4,4,5,5,5,5,6,7,8,9,9,9,9,9,9,9,10,10,10,10,11,12,12,12,13,14,14,15,16,16,17,17,17,17,18,18,19,19,19,20,20,20,20,20,20,20,20,21,21,22
President/CFO,1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,14,14,15,16,16,16,17,18,18,19,20,20,21,21,21,21,22,23,24,25,25,26,26,26,26,26,27,28,28,29,29,30
Senior Vice President and Chief Financial Officer,1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,13,13,14,15,15,15,16,17,17,18,19,19,20,20,20,20,21,21,22,22,22,23,23,23,23,23,23,23,23,24,24,25
"Senior Vice President, Finance",1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,13,13,14,15,15,15,16,17,17,18,19,19,20,20,20,20,21,21,22,23,23,24,24,24,24,24,25,26,26,27,27,28
"SVP, Chief Financial Officer",1,2,3,4,5,5,5,5,6,6,7,7,8,9,10,11,11,11,11,11,11,12,13,13,13,13,14,15,15,15,16,17,17,18,19,19,20,20,20,20,21,21,22,22,22,23,23,23,23,23,23,24,24,25,25,26
Vice President Finance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,21,22,23,24,25,26,26,27,28,28,29,30,31,32,33,33,33,34,35,36,37,37,38,39,39,39,39,40,41,42,43,43,44
Vice President of Finance & Treasury,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,13,13,13,13,13,14,15,15,16,16,17,18,19,19,20,21,21,22,23,23,24,24,24,24,25,26,27,28,28,29,30,30,30,30,31,32,32,33,33,34
"Vice President, Finance",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,21,22,23,24,25,26,26,27,28,28,29,30,31,32,33,33,33,34,35,36,37,37,38,39,40,40,40,41,42,43,44,44,45
"Vice President, Finance and Treasury",1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,13,13,13,13,13,14,15,15,16,16,17,18,19,19,20,21,21,22,23,23,24,24,24,24,25,26,27,28,28,29,30,30,30,30,31,32,33,34,34,35
VP Finance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,21,22,23,24,25,26,26,27,28,28,29,30,31,32,33,33,33,34,35,36,37,37,38,39,39,39,39,40,41,42,43,43,44
VP of Finance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,34,35,36,37,37,38,39,40,41,42,43,44,45,46,46,47,48,49,50,51,52,53
"VP, Head of Finance",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,33,34,35,36,37,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Director Corporate Finance,1,2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,15,15,15,15,16,17,17,18,19,20,21,22,22,23,24,24,25,26,27,28,29,29,29,30,31,32,33,33,34,35,35,35,35,36,37,38,39,39,40
Director of Finance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Treasurer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,22,23,24,25,26,27,27,28,29,29,30,31,32,33,34,34,34,35,36,37,38,38,39,40,41,41,42,43,44,45,46,46,47
TREASURER,1,2,3,4,5,6,6,6,7,7,8,9,10,11,12,13,14,14,14,14,14,15,16,16,17,18,19,20,21,21,22,23,23,24,25,25,26,27,27,27,28,29,30,31,31,32,33,33,33,33,34,35,36,37,37,38
Head of Treasury & Accounting,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,13,13,13,13,13,14,15,15,16,16,17,18,19,19,20,21,21,22,23,23,24,25,25,25,26,27,28,29,29,30,31,31,31,31,32,33,34,35,35,36
LPL Financial Advisor,1,2,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,10,10,10,11,12,12,13,13,13,13,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16
LPL FINANCIAL ADVISOR,1,2,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,10,10,10,11,12,12,13,13,13,13,14,14,15,15,15,16,16,16,16,16,16,16,16,17,17,17
 FINANCIAL ADVISOR,1,2,3,3,3,3,3,3,4,4,4,4,4,5,6,7,7,7,7,7,7,7,8,8,8,8,9,10,10,10,11,11,11,12,13,13,14,14,14,14,15,15,16,16,16,17,17,17,17,17,17,17,17,18,18,18
financial advisor,1,2,3,3,3,3,3,3,4,4,4,4,4,5,6,7,7,7,7,7,7,7,8,8,8,8,9,10,10,10,11,12,12,13,14,14,15,15,15,15,16,16,17,17,17,18,18,18,18,18,18,18,18,19,19,19
Accountant Advisor ,1,2,3,3,3,3,3,3,4,4,4,4,5,6,7,8,8,8,8,8,8,8,9,9,9,9,10,11,11,11,12,13,13,14,15,15,16,16,16,16,17,17,18,18,18,19,19,19,19,19,19,19,19,20,20,20
Principal Recruiter and Business Partner ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Principal People Business Partner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Principal HR Business Partner, IT and Digital",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Principal Talent Acquisition Business Part.,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Talent Acquisition Business Partner,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
principal talent acquisition business partner,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
